,lat,lon,final
803,41.51289368,-87.96050262,Illinois
804,33.92030334,-84.61799622,Georgia
805,30.53210449,-97.72859955,Texas
806,33.74899292,-84.38800049,Georgia
807,40.67140198,-73.93609619,New York
808,37.79089355,-122.4017029,California
809,36.5532074,-82.72899628,Tennessee
810,34.05439758,-118.2440033,California
811,36.00750732,-83.98960114,Tennessee
812,42.95129395,-87.94329834,Wisconsin
813,40.72680664,-73.74150085,New York
814,31.59829712,-84.21269989,Georgia
815,30.38830566,-95.69629669,Texas
816,40.62010193,-73.98680115,New York
817,34.02470398,-84.50330353,Georgia
818,33.54220581,-111.9679031,Arizona
819,38.66569519,-90.32309723,Missouri
